"State","Zone","District","Class of Employment","Category/Grade","Designation/Skill_Set","Effective_from","conversion","Basic/day","HRA/day","VDA/day","Tea-food-&-lodging_allowance/day","Special_Allowance/Day","Daily_Rate","Basic/month","HRA/month","VDA/month","Tea-food-&-lodging_allowance/month","Special_Allowance/month","Monthly_Rate","COE Keywords"
"Karnataka","","","Cloth Dyeing & Printing","","Cleaner Vehicle","1/4/2024",26,347.04,"",135.32,"","",482.36,9023.04,"",3518.4,"","",12541.44,"Textile Industry"
"Karnataka","","","Cloth Dyeing & Printing","","Driver","1/4/2024",26,397.7,"",135.32,"","",533.02,10340.16,"",3518.4,"","",13858.56,"Textile Industry"
"Karnataka","","","Cloth Dyeing & Printing","Unskilled","","1/4/2024",26,354.5,"",135.32,"","",489.82,9216.93,"",3518.4,"","",12735.33,"Textile Industry"
"Karnataka","","","Cloth Dyeing & Printing","Semi Skilled","","1/4/2024",26,368.17,"",135.32,"","",503.49,9572.32,"",3518.4,"","",13090.72,"Textile Industry"
"Karnataka","","","Cloth Dyeing & Printing","Skilled","","1/4/2024",26,404.03,"",135.32,"","",539.35,10504.67,"",3518.4,"","",14023.07,"Textile Industry"
"Karnataka","","","Cloth Dyeing & Printing","Highly Skilled","","1/4/2024",26,422.99,"",135.32,"","",558.31,10997.66,"",3518.4,"","",14516.06,"Textile Industry"
"Karnataka","","","Silk Textile Industry","General Administration","Unskilled Workers","1/4/2024",26,402.52,"",135.32,"","",537.84,10465.42,"",3518.4,"","",13983.82,"Clothes"
"Karnataka","","","Silk Textile Industry","General Administration","Helper","1/4/2024",26,402.52,"",135.32,"","",537.84,10465.42,"",3518.4,"","",13983.82,"Clothes"
"Karnataka","","","Silk Textile Industry","General Administration","Sweeper","1/4/2024",26,402.52,"",135.32,"","",537.84,10465.42,"",3518.4,"","",13983.82,"Clothes"
"Karnataka","","","Silk Textile Industry","General Administration","Gardener","1/4/2024",26,402.52,"",135.32,"","",537.84,10465.42,"",3518.4,"","",13983.82,"Clothes"
"Karnataka","","","Silk Textile Industry","General Administration","Watchman","1/4/2024",26,402.52,"",135.32,"","",537.84,10465.42,"",3518.4,"","",13983.82,"Clothes"
"Karnataka","","","Silk Textile Industry","General Administration","Peon","1/4/2024",26,402.52,"",135.32,"","",537.84,10465.42,"",3518.4,"","",13983.82,"Clothes"
"Karnataka","","","Silk Textile Industry","General Administration","Mazdoor","1/4/2024",26,402.52,"",135.32,"","",537.84,10465.42,"",3518.4,"","",13983.82,"Clothes"
"Karnataka","","","Silk Textile Industry","General Administration","Semi Skilled Workers","1/4/2024",26,425.1,"",135.32,"","",560.42,11052.55,"",3518.4,"","",14570.95,"Clothes"
"Karnataka","","","Silk Textile Industry","General Administration","Typist","1/4/2024",26,425.1,"",135.32,"","",560.42,11052.55,"",3518.4,"","",14570.95,"Clothes"
"Karnataka","","","Silk Textile Industry","General Administration","Clerk","1/4/2024",26,425.1,"",135.32,"","",560.42,11052.55,"",3518.4,"","",14570.95,"Clothes"
"Karnataka","","","Silk Textile Industry","General Administration","Store Keeper","1/4/2024",26,425.1,"",135.32,"","",560.42,11052.55,"",3518.4,"","",14570.95,"Clothes"
"Karnataka","","","Silk Textile Industry","General Administration","Waterman","1/4/2024",26,425.1,"",135.32,"","",560.42,11052.55,"",3518.4,"","",14570.95,"Clothes"
"Karnataka","","","Silk Textile Industry","General Administration","Skilled Workers","1/4/2024",26,498.82,"",135.32,"","",634.14,12969.34,"",3518.4,"","",16487.74,"Clothes"
"Karnataka","","","Silk Textile Industry","General Administration","Accountant","1/4/2024",26,498.82,"",135.32,"","",634.14,12969.34,"",3518.4,"","",16487.74,"Clothes"
"Karnataka","","","Silk Textile Industry","General Administration","Cashier","1/4/2024",26,498.82,"",135.32,"","",634.14,12969.34,"",3518.4,"","",16487.74,"Clothes"
"Karnataka","","","Silk Textile Industry","General Administration","Time Keeper","1/4/2024",26,498.82,"",135.32,"","",634.14,12969.34,"",3518.4,"","",16487.74,"Clothes"
"Karnataka","","","Silk Textile Industry","General Administration","Jobbar","1/4/2024",26,498.82,"",135.32,"","",634.14,12969.34,"",3518.4,"","",16487.74,"Clothes"
"Karnataka","","","Silk Textile Industry","General Administration","Maistry","1/4/2024",26,498.82,"",135.32,"","",634.14,12969.34,"",3518.4,"","",16487.74,"Clothes"
"Karnataka","","","Silk Textile Industry-Power plant and workshop Maintenance Section","Semi Skilled","","1/4/2024",26,417.57,"",135.32,"","",552.89,10856.84,"",3518.4,"","",14375.24,"Clothes"
"Karnataka","","","Silk Textile Industry-Power plant and workshop Maintenance Section","Skilled","","1/4/2024",26,432.9,"",135.32,"","",568.22,11255.35,"",3518.4,"","",14773.75,"Clothes"
"Karnataka","","","Silk Textile Industry-Power plant and workshop Maintenance Section","Highly Skilled","","1/4/2024",26,436.8,"",135.32,"","",572.12,11356.75,"",3518.4,"","",14875.15,"Clothes"
"Karnataka","","","Silk Textile Industry-Weaving, Calendering and Processing Section","Semi Skilled","","1/4/2024",26,402.52,"",135.32,"","",537.84,10465.42,"",3518.4,"","",13983.82,"Clothes"
"Karnataka","","","Silk Textile Industry-Weaving, Calendering and Processing Section","Skilled","","1/4/2024",26,426.77,"",135.32,"","",562.09,11095.91,"",3518.4,"","",14614.31,"Clothes"
"Karnataka","","","Silk Textile Industry-Weaving, Calendering and Processing Section","Highly Skilled","","1/4/2024",26,509.21,"",135.32,"","",644.53,13239.39,"",3518.4,"","",16757.79,"Clothes"
"Karnataka","","","Silk Textile Industry-Pure Silk & Art Silk Twisting Section","Semi Skilled","","1/4/2024",26,402.52,"",135.32,"","",537.84,10465.42,"",3518.4,"","",13983.82,"Clothes"
"Karnataka","","","Silk Textile Industry-Pure Silk & Art Silk Twisting Section","Skilled","","1/4/2024",26,426.77,"",135.32,"","",562.09,11095.91,"",3518.4,"","",14614.31,"Clothes"
"Karnataka","","","Silk Textile Industry-Charaka and Silk Filature Establishments","Semi Skilled","","1/4/2024",26,402.52,"",135.32,"","",537.84,10465.42,"",3518.4,"","",13983.82,"Clothes"
"Karnataka","","","Silk Textile Industry-Charaka and Silk Filature Establishments","Skilled","","1/4/2024",26,425.23,"",135.32,"","",560.55,11056.05,"",3518.4,"","",14574.45,"Clothes"
"Karnataka","","","Silk Textile Industry-Charaka and Silk Filature Establishments","Highly Skilled","","1/4/2024",26,432.16,"",135.32,"","",567.48,11236.09,"",3518.4,"","",14754.49,"Clothes"
"Karnataka","Zone III","","Garment and Allied Manufacturing Industry","Office Staff and Drivers","Driver (Light Vehicle)","1/4/2024",26,371.7,"",69.05,"","",440.75,9664.1,"",1795.2,"","",11459.3,"Clothes Textile"
"Karnataka","Zone II","","Garment and Allied Manufacturing Industry","Office Staff and Drivers","Driver (Light Vehicle)","1/4/2024",26,381.05,"",69.05,"","",450.1,9907.4,"",1795.2,"","",11702.6,"Clothes Textile"
"Karnataka","Zone I","","Garment and Allied Manufacturing Industry","Office Staff and Drivers","Driver (Light Vehicle)","1/4/2024",26,391.35,"",69.05,"","",460.4,10175.2,"",1795.2,"","",11970.4,"Clothes Textile"
"Karnataka","Zone III","","Garment and Allied Manufacturing Industry","Office Staff and Drivers","Driver (Heavy Vehicle)","1/4/2024",26,414.08,"",69.05,"","",483.13,10766.11,"",1795.2,"","",12561.31,"Clothes Textile"
